mode,filename,shape_ok,affine_ok,shape_t1c,shape_gtv
train,BraTS-MEN-RT-0002-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
train,BraTS-MEN-RT-0003-1_t1c_bet.nii.gz,True,True,"(260, 260, 205)","(260, 260, 205)"
train,BraTS-MEN-RT-0004-1_t1c_bet.nii.gz,True,True,"(260, 260, 184)","(260, 260, 184)"
train,BraTS-MEN-RT-0005-1_t1c_bet.nii.gz,True,True,"(260, 260, 202)","(260, 260, 202)"
train,BraTS-MEN-RT-0006-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0007-1_t1c_bet.nii.gz,True,True,"(259, 259, 187)","(259, 259, 187)"
train,BraTS-MEN-RT-0009-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0011-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0015-1_t1c_bet.nii.gz,True,True,"(380, 380, 283)","(380, 380, 283)"
train,BraTS-MEN-RT-0016-1_t1c_bet.nii.gz,True,True,"(250, 250, 186)","(250, 250, 186)"
train,BraTS-MEN-RT-0017-1_t1c_bet.nii.gz,True,True,"(240, 240, 172)","(240, 240, 172)"
train,BraTS-MEN-RT-0018-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
train,BraTS-MEN-RT-0020-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0022-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0023-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0024-1_t1c_bet.nii.gz,True,True,"(269, 269, 164)","(269, 269, 164)"
train,BraTS-MEN-RT-0026-1_t1c_bet.nii.gz,True,True,"(260, 260, 208)","(260, 260, 208)"
train,BraTS-MEN-RT-0028-1_t1c_bet.nii.gz,True,True,"(260, 260, 176)","(260, 260, 176)"
train,BraTS-MEN-RT-0029-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0030-1_t1c_bet.nii.gz,True,True,"(260, 260, 164)","(260, 260, 164)"
train,BraTS-MEN-RT-0031-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0033-1_t1c_bet.nii.gz,True,True,"(259, 259, 195)","(259, 259, 195)"
train,BraTS-MEN-RT-0035-1_t1c_bet.nii.gz,True,True,"(259, 259, 180)","(259, 259, 180)"
train,BraTS-MEN-RT-0037-1_t1c_bet.nii.gz,True,True,"(260, 260, 180)","(260, 260, 180)"
train,BraTS-MEN-RT-0041-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0044-1_t1c_bet.nii.gz,True,True,"(240, 240, 180)","(240, 240, 180)"
train,BraTS-MEN-RT-0045-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0046-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0048-1_t1c_bet.nii.gz,True,True,"(260, 260, 158)","(260, 260, 158)"
train,BraTS-MEN-RT-0051-1_t1c_bet.nii.gz,True,True,"(260, 260, 150)","(260, 260, 150)"
train,BraTS-MEN-RT-0052-1_t1c_bet.nii.gz,True,True,"(259, 259, 173)","(259, 259, 173)"
train,BraTS-MEN-RT-0053-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0054-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0055-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0056-1_t1c_bet.nii.gz,True,True,"(260, 260, 170)","(260, 260, 170)"
train,BraTS-MEN-RT-0057-1_t1c_bet.nii.gz,True,True,"(380, 380, 326)","(380, 380, 326)"
train,BraTS-MEN-RT-0058-1_t1c_bet.nii.gz,True,True,"(240, 240, 172)","(240, 240, 172)"
train,BraTS-MEN-RT-0059-1_t1c_bet.nii.gz,True,True,"(250, 250, 215)","(250, 250, 215)"
train,BraTS-MEN-RT-0060-1_t1c_bet.nii.gz,True,True,"(260, 260, 174)","(260, 260, 174)"
train,BraTS-MEN-RT-0062-1_t1c_bet.nii.gz,True,True,"(240, 240, 160)","(240, 240, 160)"
train,BraTS-MEN-RT-0063-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0064-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
train,BraTS-MEN-RT-0065-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0066-1_t1c_bet.nii.gz,True,True,"(259, 259, 192)","(259, 259, 192)"
train,BraTS-MEN-RT-0067-1_t1c_bet.nii.gz,True,True,"(254, 254, 224)","(254, 254, 224)"
train,BraTS-MEN-RT-0068-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0069-1_t1c_bet.nii.gz,True,True,"(250, 250, 186)","(250, 250, 186)"
train,BraTS-MEN-RT-0070-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
train,BraTS-MEN-RT-0071-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0072-1_t1c_bet.nii.gz,True,True,"(250, 250, 184)","(250, 250, 184)"
train,BraTS-MEN-RT-0073-1_t1c_bet.nii.gz,True,True,"(259, 259, 192)","(259, 259, 192)"
train,BraTS-MEN-RT-0074-1_t1c_bet.nii.gz,True,True,"(250, 250, 204)","(250, 250, 204)"
train,BraTS-MEN-RT-0075-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0076-1_t1c_bet.nii.gz,True,True,"(250, 250, 183)","(250, 250, 183)"
train,BraTS-MEN-RT-0077-1_t1c_bet.nii.gz,True,True,"(380, 380, 281)","(380, 380, 281)"
train,BraTS-MEN-RT-0078-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
train,BraTS-MEN-RT-0079-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0080-1_t1c_bet.nii.gz,True,True,"(280, 280, 164)","(280, 280, 164)"
train,BraTS-MEN-RT-0081-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0082-1_t1c_bet.nii.gz,True,True,"(380, 380, 290)","(380, 380, 290)"
train,BraTS-MEN-RT-0084-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0085-1_t1c_bet.nii.gz,True,True,"(240, 240, 148)","(240, 240, 148)"
train,BraTS-MEN-RT-0086-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0087-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0088-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0089-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0090-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
train,BraTS-MEN-RT-0091-1_t1c_bet.nii.gz,True,True,"(259, 259, 192)","(259, 259, 192)"
train,BraTS-MEN-RT-0092-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0093-1_t1c_bet.nii.gz,True,True,"(260, 260, 184)","(260, 260, 184)"
train,BraTS-MEN-RT-0094-1_t1c_bet.nii.gz,True,True,"(380, 380, 312)","(380, 380, 312)"
train,BraTS-MEN-RT-0097-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0099-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0100-1_t1c_bet.nii.gz,True,True,"(380, 380, 188)","(380, 380, 188)"
train,BraTS-MEN-RT-0101-1_t1c_bet.nii.gz,True,True,"(240, 240, 188)","(240, 240, 188)"
train,BraTS-MEN-RT-0102-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0103-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
train,BraTS-MEN-RT-0104-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
train,BraTS-MEN-RT-0105-1_t1c_bet.nii.gz,True,True,"(380, 380, 205)","(380, 380, 205)"
train,BraTS-MEN-RT-0106-1_t1c_bet.nii.gz,True,True,"(259, 259, 180)","(259, 259, 180)"
train,BraTS-MEN-RT-0107-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
train,BraTS-MEN-RT-0109-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0110-1_t1c_bet.nii.gz,True,True,"(220, 220, 148)","(220, 220, 148)"
train,BraTS-MEN-RT-0112-1_t1c_bet.nii.gz,True,True,"(259, 260, 175)","(259, 260, 175)"
train,BraTS-MEN-RT-0113-1_t1c_bet.nii.gz,True,True,"(260, 260, 158)","(260, 260, 158)"
train,BraTS-MEN-RT-0114-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0116-1_t1c_bet.nii.gz,True,True,"(259, 259, 173)","(259, 259, 173)"
train,BraTS-MEN-RT-0117-1_t1c_bet.nii.gz,True,True,"(250, 250, 193)","(250, 250, 193)"
train,BraTS-MEN-RT-0119-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0120-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0122-1_t1c_bet.nii.gz,True,True,"(260, 260, 180)","(260, 260, 180)"
train,BraTS-MEN-RT-0124-1_t1c_bet.nii.gz,True,True,"(240, 240, 179)","(240, 240, 179)"
train,BraTS-MEN-RT-0125-1_t1c_bet.nii.gz,True,True,"(259, 259, 192)","(259, 259, 192)"
train,BraTS-MEN-RT-0126-1_t1c_bet.nii.gz,True,True,"(260, 260, 180)","(260, 260, 180)"
train,BraTS-MEN-RT-0127-1_t1c_bet.nii.gz,True,True,"(250, 250, 187)","(250, 250, 187)"
train,BraTS-MEN-RT-0128-1_t1c_bet.nii.gz,True,True,"(260, 260, 187)","(260, 260, 187)"
train,BraTS-MEN-RT-0129-1_t1c_bet.nii.gz,True,True,"(250, 250, 194)","(250, 250, 194)"
train,BraTS-MEN-RT-0130-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0131-1_t1c_bet.nii.gz,True,True,"(260, 260, 164)","(260, 260, 164)"
train,BraTS-MEN-RT-0132-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0134-1_t1c_bet.nii.gz,True,True,"(260, 260, 184)","(260, 260, 184)"
train,BraTS-MEN-RT-0135-1_t1c_bet.nii.gz,True,True,"(260, 260, 192)","(260, 260, 192)"
train,BraTS-MEN-RT-0136-1_t1c_bet.nii.gz,True,True,"(260, 260, 164)","(260, 260, 164)"
train,BraTS-MEN-RT-0137-1_t1c_bet.nii.gz,True,True,"(380, 380, 329)","(380, 380, 329)"
train,BraTS-MEN-RT-0140-1_t1c_bet.nii.gz,True,True,"(260, 260, 170)","(260, 260, 170)"
train,BraTS-MEN-RT-0141-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0142-1_t1c_bet.nii.gz,True,True,"(380, 380, 207)","(380, 380, 207)"
train,BraTS-MEN-RT-0143-1_t1c_bet.nii.gz,True,True,"(250, 250, 184)","(250, 250, 184)"
train,BraTS-MEN-RT-0144-1_t1c_bet.nii.gz,True,True,"(260, 260, 162)","(260, 260, 162)"
train,BraTS-MEN-RT-0145-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0146-1_t1c_bet.nii.gz,True,True,"(259, 259, 173)","(259, 259, 173)"
train,BraTS-MEN-RT-0147-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0148-1_t1c_bet.nii.gz,True,True,"(162, 256, 256)","(162, 256, 256)"
train,BraTS-MEN-RT-0149-1_t1c_bet.nii.gz,True,True,"(260, 260, 176)","(260, 260, 176)"
train,BraTS-MEN-RT-0150-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0151-1_t1c_bet.nii.gz,True,True,"(250, 250, 206)","(250, 250, 206)"
train,BraTS-MEN-RT-0152-1_t1c_bet.nii.gz,True,True,"(240, 240, 192)","(240, 240, 192)"
train,BraTS-MEN-RT-0153-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0154-1_t1c_bet.nii.gz,True,True,"(260, 260, 150)","(260, 260, 150)"
train,BraTS-MEN-RT-0155-1_t1c_bet.nii.gz,True,True,"(260, 260, 162)","(260, 260, 162)"
train,BraTS-MEN-RT-0156-1_t1c_bet.nii.gz,True,True,"(260, 260, 205)","(260, 260, 205)"
train,BraTS-MEN-RT-0157-1_t1c_bet.nii.gz,True,True,"(250, 250, 186)","(250, 250, 186)"
train,BraTS-MEN-RT-0158-1_t1c_bet.nii.gz,True,True,"(229, 229, 231)","(229, 229, 231)"
train,BraTS-MEN-RT-0159-1_t1c_bet.nii.gz,True,True,"(250, 250, 165)","(250, 250, 165)"
train,BraTS-MEN-RT-0160-1_t1c_bet.nii.gz,True,True,"(380, 380, 298)","(380, 380, 298)"
train,BraTS-MEN-RT-0161-1_t1c_bet.nii.gz,True,True,"(191, 236, 140)","(191, 236, 140)"
train,BraTS-MEN-RT-0163-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0164-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0165-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0166-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0167-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0168-1_t1c_bet.nii.gz,True,True,"(260, 260, 184)","(260, 260, 184)"
train,BraTS-MEN-RT-0170-1_t1c_bet.nii.gz,True,True,"(250, 250, 214)","(250, 250, 214)"
train,BraTS-MEN-RT-0171-1_t1c_bet.nii.gz,True,True,"(265, 265, 180)","(265, 265, 180)"
train,BraTS-MEN-RT-0172-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0173-1_t1c_bet.nii.gz,True,True,"(240, 240, 187)","(240, 240, 187)"
train,BraTS-MEN-RT-0174-1_t1c_bet.nii.gz,True,True,"(380, 380, 289)","(380, 380, 289)"
train,BraTS-MEN-RT-0175-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0176-1_t1c_bet.nii.gz,True,True,"(260, 260, 170)","(260, 260, 170)"
train,BraTS-MEN-RT-0177-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
train,BraTS-MEN-RT-0178-1_t1c_bet.nii.gz,True,True,"(380, 380, 283)","(380, 380, 283)"
train,BraTS-MEN-RT-0179-1_t1c_bet.nii.gz,True,True,"(260, 260, 149)","(260, 260, 149)"
train,BraTS-MEN-RT-0180-1_t1c_bet.nii.gz,True,True,"(255, 256, 258)","(255, 256, 258)"
train,BraTS-MEN-RT-0181-1_t1c_bet.nii.gz,True,True,"(250, 250, 199)","(250, 250, 199)"
train,BraTS-MEN-RT-0184-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0185-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0186-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0187-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0188-1_t1c_bet.nii.gz,True,True,"(240, 240, 172)","(240, 240, 172)"
train,BraTS-MEN-RT-0189-1_t1c_bet.nii.gz,True,True,"(256, 255, 258)","(256, 255, 258)"
train,BraTS-MEN-RT-0190-1_t1c_bet.nii.gz,True,True,"(269, 269, 180)","(269, 269, 180)"
train,BraTS-MEN-RT-0191-1_t1c_bet.nii.gz,True,True,"(260, 260, 172)","(260, 260, 172)"
train,BraTS-MEN-RT-0192-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0193-1_t1c_bet.nii.gz,True,True,"(380, 380, 283)","(380, 380, 283)"
train,BraTS-MEN-RT-0194-1_t1c_bet.nii.gz,True,True,"(259, 259, 180)","(259, 259, 180)"
train,BraTS-MEN-RT-0195-1_t1c_bet.nii.gz,True,True,"(260, 260, 156)","(260, 260, 156)"
train,BraTS-MEN-RT-0196-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0197-1_t1c_bet.nii.gz,True,True,"(259, 259, 180)","(259, 259, 180)"
train,BraTS-MEN-RT-0198-1_t1c_bet.nii.gz,True,True,"(259, 259, 180)","(259, 259, 180)"
train,BraTS-MEN-RT-0199-1_t1c_bet.nii.gz,True,True,"(260, 260, 170)","(260, 260, 170)"
train,BraTS-MEN-RT-0200-1_t1c_bet.nii.gz,True,True,"(260, 260, 162)","(260, 260, 162)"
train,BraTS-MEN-RT-0201-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0202-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0203-1_t1c_bet.nii.gz,True,True,"(201, 230, 172)","(201, 230, 172)"
train,BraTS-MEN-RT-0206-1_t1c_bet.nii.gz,True,True,"(259, 259, 179)","(259, 259, 179)"
train,BraTS-MEN-RT-0208-1_t1c_bet.nii.gz,True,True,"(229, 230, 176)","(229, 230, 176)"
train,BraTS-MEN-RT-0209-1_t1c_bet.nii.gz,True,True,"(269, 269, 180)","(269, 269, 180)"
train,BraTS-MEN-RT-0210-1_t1c_bet.nii.gz,True,True,"(260, 260, 177)","(260, 260, 177)"
train,BraTS-MEN-RT-0211-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0212-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0214-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0215-1_t1c_bet.nii.gz,True,True,"(254, 254, 223)","(254, 254, 223)"
train,BraTS-MEN-RT-0216-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0217-1_t1c_bet.nii.gz,True,True,"(279, 279, 169)","(279, 279, 169)"
train,BraTS-MEN-RT-0219-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0220-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0221-1_t1c_bet.nii.gz,True,True,"(270, 270, 184)","(270, 270, 184)"
train,BraTS-MEN-RT-0222-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0223-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0224-1_t1c_bet.nii.gz,True,True,"(254, 254, 213)","(254, 254, 213)"
train,BraTS-MEN-RT-0225-1_t1c_bet.nii.gz,True,True,"(260, 260, 170)","(260, 260, 170)"
train,BraTS-MEN-RT-0226-1_t1c_bet.nii.gz,True,True,"(250, 250, 172)","(250, 250, 172)"
train,BraTS-MEN-RT-0227-1_t1c_bet.nii.gz,True,True,"(259, 259, 181)","(259, 259, 181)"
train,BraTS-MEN-RT-0229-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0230-1_t1c_bet.nii.gz,True,True,"(380, 380, 298)","(380, 380, 298)"
train,BraTS-MEN-RT-0231-1_t1c_bet.nii.gz,True,True,"(240, 240, 172)","(240, 240, 172)"
train,BraTS-MEN-RT-0232-1_t1c_bet.nii.gz,True,True,"(380, 380, 271)","(380, 380, 271)"
train,BraTS-MEN-RT-0233-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0234-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0235-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0236-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0237-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0238-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0241-1_t1c_bet.nii.gz,True,True,"(260, 260, 211)","(260, 260, 211)"
train,BraTS-MEN-RT-0242-1_t1c_bet.nii.gz,True,True,"(260, 260, 164)","(260, 260, 164)"
train,BraTS-MEN-RT-0245-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0246-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0247-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0249-1_t1c_bet.nii.gz,True,True,"(240, 240, 172)","(240, 240, 172)"
train,BraTS-MEN-RT-0250-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0251-1_t1c_bet.nii.gz,True,True,"(250, 250, 240)","(250, 250, 240)"
train,BraTS-MEN-RT-0252-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
